iter	RMSE
137	3.647641767
138	3.647027252
139	3.646588268
140	3.645977024
141	3.645479
142	3.644964988
143	3.644472492
144	3.644049895
145	3.643613378
146	3.642802901
147	3.642304128
148	3.641943569
149	3.641525012
150	3.640922909
151	3.640471748
152	3.640089415
153	3.639671858
154	3.63910216
155	3.638574871
156	3.638255903
157	3.637813929
158	3.637476007
159	3.63687012
160	3.636531172
161	3.636196531
162	3.635893758
163	3.635534069
164	3.635189914
165	3.634871067
166	3.634415324
167	3.634073602
168	3.633620215
169	3.633260368
170	3.632676349
171	3.632214927
172	3.631823378
173	3.631504001
174	3.631242083
175	3.631049996
176	3.630694761
177	3.630389256
178	3.630026697
179	3.62969011
180	3.629293577
181	3.628883681
182	3.628673244
183	3.628285416
184	3.627793863
185	3.627461262
186	3.627198649
187	3.626951492
188	3.626619162
189	3.626315526
190	3.625986211
191	3.625733054
192	3.62540555
193	3.625145158
194	3.624864717
195	3.624580891
196	3.624144348
197	3.623760665
198	3.623477325
199	3.623034632
200	3.62271292
201	3.622533295
202	3.622156514
203	3.621819248
204	3.621579195
205	3.621265303
206	3.620988702
207	3.620699796
208	3.620488106
209	3.62021705
210	3.62002797
211	3.619770162
212	3.619533286
213	3.619274349
214	3.619038122
215	3.618852262
216	3.618568381
217	3.61829014
218	3.617923877
219	3.617696023
220	3.617443541
221	3.617244901
222	3.6170477
223	3.616682659
224	3.616462461
225	3.616225467
226	3.615938531
227	3.615699819
228	3.615498019
229	3.615302729
230	3.615043484
231	3.614840816
232	3.614628696
233	3.614389822
234	3.614158223
235	3.613987684
236	3.613727725
237	3.61343099
238	3.613202107
239	3.613000519
240	3.612789027
241	3.612625819
242	3.612332632
243	3.612043453
244	3.611837959
245	3.611640327
246	3.611469808
247	3.611299874
248	3.611103005
249	3.610916942
250	3.61070746
251	3.610463023
252	3.610180295
253	3.609907458
254	3.609737286
255	3.609547737
256	3.609390557
257	3.60920095
258	3.609041144
259	3.608800074
260	3.608580137
261	3.608439271
262	3.608260608
263	3.608063601
264	3.607682803
265	3.607488254
266	3.607267296
267	3.607109359
268	3.606870146
269	3.606728926
270	3.606579056
271	3.606253739
272	3.606091453
273	3.605896117
274	3.605678969
275	3.605475888
276	3.605357515
277	3.605146373
278	3.604953163
279	3.604767096
280	3.604540153
281	3.604394523
282	3.604227319
283	3.604036464
284	3.603832307
285	3.60365682
286	3.603412892
287	3.603227002
288	3.603168639
289	3.602887833
290	3.602760132
291	3.602605139
292	3.602480947
293	3.602260805
294	3.602045273
295	3.601880702
296	3.601697047
297	3.601511702
298	3.601332846
299	3.601102985
300	3.600949453
301	3.600747293
302	3.600636395
303	3.600386267
304	3.600081669
305	3.599968438
306	3.599674609
307	3.599395414
308	3.599259132
309	3.599072153
310	3.598971367
311	3.598840963
312	3.598628536
313	3.598402923
314	3.598110973
315	3.597956077
316	3.597780574
317	3.597524832
318	3.597411084
319	3.597156896
320	3.597016327
321	3.596823027
322	3.596514502
323	3.596318529
324	3.596145453
325	3.595977336
326	3.595836764
327	3.595690487
328	3.595559738
329	3.595356654
330	3.595191297
331	3.594970164
332	3.594830157
333	3.59472224
334	3.594498704
335	3.594332694
336	3.594161725
337	3.594044229
338	3.593892405
339	3.593792529
340	3.593607759
341	3.593415957
342	3.593205274
343	3.592998027
344	3.592808752
345	3.592664495
346	3.592465707
347	3.592319256
348	3.592179823
349	3.592089588
350	3.591819782
351	3.591675065
352	3.591527568
353	3.591410275
354	3.591318679
355	3.591121679
356	3.590872457
357	3.590685237
358	3.590578305
359	3.590340302
360	3.59012383
361	3.589984489
362	3.589798803
363	3.589565338
364	3.589329047
365	3.589121006
366	3.588918596
367	3.588741524
368	3.588587164
369	3.588466657
370	3.588230336
371	3.587978599
372	3.587832316
373	3.587584591
374	3.58744965
375	3.587330064
376	3.587204885
377	3.587038543
378	3.586862763
379	3.586750869
380	3.586614693
381	3.586476711
382	3.586293298
383	3.586190604
384	3.585998893
385	3.585820779
386	3.585556051
387	3.585382716
388	3.585258488
389	3.585129552
390	3.58494303
391	3.584755275
392	3.584611239
393	3.584137732
394	3.583924129
395	3.583771439
396	3.583676697
397	3.583569399
398	3.583398412
399	3.583183611
400	3.583039122
401	3.58283297
402	3.58270694
403	3.58259205
404	3.582424521
405	3.582234258
406	3.582107681
407	3.581848285
408	3.581714266
409	3.581472112
410	3.581321095
411	3.581186059
412	3.581064052
413	3.580869359
414	3.580609123
415	3.580403914
416	3.580229417
417	3.579979163
418	3.579803103
419	3.579684746
420	3.579579277
421	3.579453637
422	3.579231463
423	3.579066497
424	3.578851014
425	3.578689551
426	3.578508382
427	3.578342584
428	3.578103455
429	3.577968723
430	3.57783126
431	3.577663778
432	3.577503655
433	3.577349562
434	3.577063559
435	3.576858341
436	3.576687822
437	3.576536209
438	3.576373326
439	3.576233307
440	3.576037864
441	3.575907063
442	3.575807151
443	3.575662298
444	3.575470296
445	3.575322083
446	3.575198047
447	3.575069291
448	3.574903901
449	3.574736575
450	3.574485885
451	3.57433271
452	3.574202806
453	3.574058141
454	3.573869975
455	3.573692968
456	3.573549838
457	3.573382778
458	3.57325858
459	3.573108767
460	3.572995948
461	3.572825266
462	3.572617832
463	3.572482226
464	3.572351053
465	3.572171491
466	3.571964341
467	3.571819712
468	3.571685836
469	3.571569245
470	3.571477758
471	3.571369062
472	3.571096809
473	3.570909114
474	3.57075201
475	3.570628823
476	3.57050936
477	3.570362156
478	3.570229492
479	3.570089744
480	3.56991855
481	3.5697709
482	3.569646171
483	3.569503439
484	3.569425803
485	3.569298644
486	3.569143762
487	3.568990331
488	3.568805077
489	3.568697595
490	3.568440139
491	3.568316261
492	3.568211172
493	3.567949925
494	3.567839013
495	3.567686046
496	3.567554487
497	3.567467033
498	3.56735467
499	3.567212305
